Year,State,Solid Waste Generated (TPD),Waste Collected (TPD),Waste Treated (TPD),Waste Landfilled (TPD)
2017-18,Andhra Pradesh,,,,
2017-18,Arunachal Pradesh,203.96,166.82,0,0
2017-18,Assam,,,,
2017-18,Bihar,2272,,,0
2017-18,Chhattisgarh,2000,1680,1411.2,0
2017-18,Goa,,,,
2017-18,Gujarat,0,11119,1127,9992
2017-18,Haryana,,,,
2017-18,Himachal Pradesh,,,,
2017-18,Jammu & Kashmir,,,0,0
2017-18,Jharkhand,,,,
2017-18,Karnataka,,,,
2017-18,Kerala,3831.553,0,0,0
2017-18,Madhya Pradesh,7212,6537,2272.5,4264.5
2017-18,Maharashtra,,,,
2017-18,Manipur,,,,
2017-18,Meghalaya,210,175,36,139
2017-18,Mizoram,,,,
2017-18,Nagaland,348,252,139.2,34.8
2017-18,Odisha,539.44,471.58,0,0
2017-18,Punjab,,,,
2017-18,Rajasthan,,,,
2017-18,Sikkim,73.34,63,7.5,0
2017-18,Tamil Nadu,15174.612,14209.127,5307.146,7286.621
2017-18,Telangana,7804,7023,4795,593
2017-18,Tripura,433.2,372.5,148.4,224.1
2017-18,Uttarakhand,1099,1099,0,0
2017-18,Uttar Pradesh,,,,
2017-18,West Bengal,,,,
2017-18,Andaman and Nicobar,,,,
2017-18,Chandigarh,500,463,142.87,319.68
2017-18,Delhi,,,,
2017-18,Lakshadweep,,,,
2017-18,Puducherry,,,,
