Year,State,Solid Waste Generated (TPD),Waste Collected (TPD),Waste Treated (TPD),Waste Landfilled (TPD)
2020-21,Andhra Pradesh,6898,6829,1133,205
2020-21,Arunachal Pradesh,236.51,202.11,,27.5
2020-21,Assam,1199,1091,41.4,0
2020-21,Bihar,4281.27,4013.55,,
2020-21,Chhattisgarh,1650,1650,1650,0
2020-21,Goa,226.87,218.87,197.47,22.05
2020-21,Gujarat,10373.79,10332,6946,3385.82
2020-21,Haryana,5352.12,5291.41,3123.9,2167.51
2020-21,Himachal Pradesh,346,332,221,111
2020-21,Jammu & Kashmir,1463.23,1437.28,547.5,376
2020-21,Jharkhand,2226.39,1851.65,758.26,1086.33
2020-21,Karnataka,11085,10198,6817,1250
2020-21,Kerala,3543,964.76,2550,
2020-21,Madhya Pradesh,8022.5,7235.5,6472,763.5
2020-21,Maharashtra,22632.71,22584.4,15056.1,1355.36
2020-21,Manipur,282.3,190.3,108.6,81.7
2020-21,Meghalaya,107.01,93.02,9.64,83.4
2020-21,Mizoram,345.47,275.92,269.71,0
2020-21,Nagaland,330.49,285.49,122,7.5
2020-21,Odisha,2132.95,2097.14,1038.31,1034.33
2020-21,Punjab,4338.37,4278.86,1894.04,2384.82
2020-21,Rajasthan,6897.16,6720.476,1210.46,5082.16
2020-21,Sikkim,71.9,71.9,20.35,51.55
2020-21,Tamil Nadu,13422,12844,9430.35,2301.04
2020-21,Telangana,9965,9965,7530,991
2020-21,Tripura,333.9,317.69,214.06,12.9
2020-21,Uttarakhand,1458.46,1378.99,779.85,
2020-21,Uttar Pradesh,14710,14292,5520,0
2020-21,West Bengal,13709,13356,667.6,202.23
2020-21,Andaman and Nicobar Islands,89,82,75,7
2020-21,Chandigarh,513,513,69,444
2020-21,DDDNH,267,267,237,14.5
2020-21,Delhi,10990,10990,5193.57,5533
2020-21,Lakshadweep,35,17.13,17.13,
2020-21,Puducherry,504.5,482,36,446
